UniversityName,tuition,patent,score,year
Vanderbilt University,47664,51,53.05,2015
Georgia Institute of Technology,33014,40,44.71,2012
Georgia Institute of Technology,33014,32,44.26,2013
Georgia Institute of Technology,33014,24,52.74,2014
Georgia Institute of Technology,33014,36,52.08,2015
New Mexico State University,22701,737,45.23,2014
New Mexico State University,22701,871,44.71,2015
Kent State University,18376,481,44.85,2014
Kent State University,18376,498,44.58,2015
University of Illinois--Urbana-Champaign,31988,64,62.89,2014
University of Illinois--Urbana-Champaign,31988,65,59.94,2015
Miami University--Oxford,32768,737,45.37,2014
Miami University--Oxford,32768,871,45,2015
College of William and Mary,43099,637,45.77,2014
College of William and Mary,43099,809,45.42,2015
University of Louisville,26286,138,46.15,2014
University of Louisville,26286,105,45.97,2015
University of Nebraska--Lincoln,23256,426,46.02,2014
University of Nebraska--Lincoln,23256,456,45.8,2015
University of New Hampshire,32637,637,45.53,2014
University of New Hampshire,32637,596,45.42,2015
University of California--San Diego,44197,22,63.11,2012
University of California--San Diego,44197,22,63.12,2013
University of California--San Diego,44197,13,68.36,2014
University of California--San Diego,44197,17,66.59,2015
Rochester Institute of Technology,40068,373,44.69,2014
Rochester Institute of Technology,40068,587,44.35,2015
University of North Dakota,21462,426,44.43,2014
University of North Dakota,21462,606,44.12,2015
East Carolina University,23420,481,44.62,2014
East Carolina University,23420,639,44.28,2015
University of California--Santa Cruz,42042,227,48.89,2014
University of California--Santa Cruz,42042,183,48.59,2015
University of California--Los Angeles,41270,13,64.05,2012
University of California--Los Angeles,41270,12,67.84,2013
University of California--Los Angeles,41270,10,78.35,2014
University of California--Los Angeles,41270,9,76.91,2015
Iowa State University,22256,338,48.47,2014
Iowa State University,22256,339,47.71,2015
Pennsylvania State University--University Park,33664,99,48.15,2012
Pennsylvania State University--University Park,33664,67,49.84,2013
Pennsylvania State University--University Park,33664,100,57.19,2014
Pennsylvania State University--University Park,33664,92,55.54,2015
Johns Hopkins University,52170,7,66.94,2012
Johns Hopkins University,52170,2,65.64,2013
Johns Hopkins University,52170,3,71.17,2014
Johns Hopkins University,52170,2,71.6,2015
University of North Carolina--Greensboro,22410,552,44.43,2014
University of North Carolina--Greensboro,22410,575,44.13,2015
University of Wyoming,16827,426,45.18,2014
University of Wyoming,16827,380,44.89,2015
University of Colorado--Denver,31209,78,49.79,2014
University of Colorado--Denver,31209,72,49.48,2015
University of California--Davis,42396,32,51.06,2012
University of California--Davis,42396,90,49.16,2013
University of California--Davis,42396,68,55.18,2014
University of California--Davis,42396,62,54.85,2015
University of Houston,27337,89,48.91,2014
University of Houston,27337,156,47.83,2015
Arizona State University--Tempe,27372,49,45.7,2012
Arizona State University--Tempe,27372,20,46.72,2013
Arizona State University--Tempe,27372,34,51.14,2014
Arizona State University--Tempe,27372,21,51.13,2015
Stanford University,49617,15,89.5,2012
Stanford University,49617,11,93.94,2013
Stanford University,49617,6,99.09,2014
Stanford University,49617,10,98.66,2015
University of California--Santa Barbara,42423,101,52.15,2012
University of California--Santa Barbara,42423,101,51.67,2013
University of California--Santa Barbara,42423,68,54.76,2014
University of California--Santa Barbara,42423,77,53.63,2015
Oakland University,24735,737,44.44,2014
Oakland University,24735,871,44.13,2015
University of South Alabama,19586,307,44.56,2014
University of South Alabama,19586,464,44.19,2015
Loyola University Chicago,42828,737,45.36,2014
Loyola University Chicago,42828,713,45.03,2015
Lehigh University,50740,481,46.91,2014
Lehigh University,50740,534,46.4,2015
California Institute of Technology,49908,18,85.21,2012
California Institute of Technology,49908,17,77.59,2013
California Institute of Technology,49908,9,85.5,2014
California Institute of Technology,49908,13,84.4,2015
North Carolina State University--Raleigh,27406,181,47.43,2014
North Carolina State University--Raleigh,27406,161,46.89,2015
Clarkson University,47950,552,44.57,2014
Clarkson University,47950,685,44.19,2015
Saint Louis University,42166,227,45.75,2014
Saint Louis University,42166,286,45.39,2015
University of Texas--San Antonio,23379,227,46.95,2014
University of Texas--San Antonio,23379,254,46.1,2015
University of North Carolina--Charlotte,20268,637,44.61,2014
University of North Carolina--Charlotte,20268,593,44.25,2015
University of Nevada--Reno,21787,637,45.26,2014
University of Nevada--Reno,21787,708,44.93,2015
University of Southern Mississippi,9854,737,44.38,2014
University of Southern Mississippi,9854,676,44.13,2015
University of Southern California,54259,23,51.38,2012
University of Southern California,54259,40,51.56,2013
University of Southern California,54259,33,55.7,2014
University of Southern California,54259,34,55.12,2015
Columbia University,57208,5,78.86,2012
Columbia University,57208,10,88.21,2013
Columbia University,57208,4,97.41,2014
Columbia University,57208,4,96.14,2015
Washington University in St. Louis,51533,14,52.9,2012
Washington University in St. Louis,51533,101,47.72,2013
Washington University in St. Louis,51533,181,54.93,2014
Washington University in St. Louis,51533,169,55.03,2015
University of Miami,48484,78,49.62,2014
University of Miami,48484,73,49.09,2015
University of New Orleans,13530,737,44.78,2014
University of New Orleans,13530,871,44.5,2015
University of North Carolina--Chapel Hill,34588,29,53.09,2012
University of North Carolina--Chapel Hill,34588,42,52.87,2013
University of North Carolina--Chapel Hill,34588,38,57.51,2014
University of North Carolina--Chapel Hill,34588,41,57.09,2015
University of Texas--Austin,35766,57,56.18,2012
