displayName,sat,act,state,lat,lng,rank,hsGPA,acceptRate,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
Wake Forest University,1240,28,NC,36.1,-80.24,27,None,30,75,3.4,None,51400,4955,30,24241.0,private
University of Michigan--Ann Arbor,1310,29,MI,42.27,-83.73,28,3.8,29,74,4.5,4.4,47476,28983,25,32856.0,public
Tufts University,1370,31,MA,42.42,-71.1,29,None,14,72,None,3.0,54318,5508,34,27034.0,private
New York University,1250,29,NY,40.71,-73.99,30,3.6,32,71,4.3,2.9,50464,26135,46,41783.0,private
University of North Carolina--Chapel Hill,1190,27,NC,35.92,-79.04,30,4,27,71,4.2,None,34588,18523,41,17815.0,public
Boston College,1260,30,MA,42.31,-71.16,32,None,31,70,3.6,None,53346,9309,35,30170.0,private
College of William and Mary,1250,28,VA,37.27,-76.7,32,None,37,70,3.3,None,43099,6276,21,42153.0,public
Brandeis University,1270,29,MA,42.38,-71.24,34,3.9,33,68,2.9,None,53582,3608,47,29288.0,private
Georgia Institute of Technology,1320,30,GA,33.76,-84.42,34,3.9,26,68,3.5,4.6,33014,15489,15,39518.0,public
University of Rochester,1250,29,NY,43.16,-77.61,34,None,38,68,None,2.7,52020,6386,51,28476.0,private
Boston University,1220,28,MA,42.35,-71.06,37,3.6,29,67,3.4,3.1,52082,17944,36,34539.0,private
Case Western Reserve University,1280,30,OH,41.47,-81.67,37,None,35,67,3.5,3.3,47500,5152,48,35248.0,private
University of California--Santa Barbara,1140,25,CA,34.43,-119.83,37,4,36,67,None,3.4,42423,21574,8,44849.0,public
Northeastern University,1330,31,MA,42.35,-71.06,40,None,29,66,3.1,3.1,49497,13473,34,38521.0,private
Tulane University,1250,29,LA,30.06,-89.93,40,3.5,26,66,3.2,2.4,52960,6377,31,35111.0,private
Rensselaer Polytechnic Institute,1280,28,NY,42.73,-73.67,42,3.9,44,65,3.1,3.5,52305,6265,61,35125.0,private
University of California--Irvine,1060,None,CA,33.64,-117.84,42,4,41,65,3.5,3.3,43530,27331,6,43506.0,public
University of California--San Diego,1140,25,CA,32.88,-117.23,42,4,36,65,3.2,3.7,44197,28127,7,42933.0,public
University of Florida,1180,27,FL,29.67,-82.33,42,4,46,65,3.6,3.4,28658,34554,20,36825.0,public
Lehigh University,1230,29,PA,40.62,-75.36,46,None,26,64,2.9,3.2,50740,5080,38,25376.0,private
Pepperdine University,1110,26,CA,34.03,-118.7,46,3.6,37,64,3.2,None,51992,3542,51,32416.0,private
University of California--Davis,1050,24,CA,38.48,-121.64,46,4,42,64,None,3.5,42396,29546,9,44075.0,public
University of Miami,1210,28,FL,25.77,-80.2,46,3.6,38,64,3.1,2.5,48484,10849,33,34479.0,private
University of Wisconsin--Madison,1234,27,WI,43.07,-89.38,46,3.8,53,64,3.8,3.9,34782,31710,16,36113.0,public
Villanova University,1220,30,PA,40.03,-75.35,46,3.7,44,64,3.2,2.5,51434,6999,44,35459.0,private
Pennsylvania State University--University Park,1090,25,PA,40.8,-77.85,52,3.6,56,63,3.7,3.7,33664,41359,14,41789.0,public
University of Illinois--Urbana-Champaign,1280,26,IL,40.11,-88.26,52,None,60,63,3.8,4.4,31988,33932,9,35977.0,public
Ohio State University--Columbus,1160,27,OH,39.98,-82.98,54,None,54,62,3.8,3.5,29659,45831,9,37032.0,public
University of Georgia,1140,26,GA,33.95,-83.39,54,4,54,62,3.6,2.3,30392,27951,13,30943.0,public
George Washington University,1180,27,DC,38.89,-77.03,56,None,40,61,3.3,2.6,53518,11504,43,37996.0,private
Purdue University--West Lafayette,1080,25,IN,40.44,-86.91,56,3.7,56,61,3.6,4.3,28804,30043,16,28383.0,public
University of Connecticut,1130,26,CT,41.8,-72.25,56,None,49,61,3.2,2.9,36948,19324,33,37427.0,public
University of Texas--Austin,1140,26,TX,30.26,-97.74,56,None,40,61,4.3,4.1,35766,40168,7,40558.0,public
University of Washington,1120,26,WA,47.65,-122.29,56,3.8,45,61,3.6,3.7,35538,30933,20,47746.0,public
Brigham Young University--Provo,1160,27,UT,40.22,-111.69,61,3.8,51,60,3.5,2.6,5460,30979,38,13186.0,private
Fordham University,1170,27,NY,40.71,-73.99,61,3.6,45,60,3.1,None,50601,9258,None,None,private
Southern Methodist University,1220,28,TX,32.79,-96.76,61,3.7,49,60,3.2,2.5,52498,6521,24,47874.0,private
Syracuse University,1090,25,NY,43.04,-76.14,61,3.6,52,60,3.3,2.6,46755,15218,48,33912.0,private
University of Maryland--College Park,1210,28,MD,38.99,-76.93,61,4,48,60,3.7,3.6,33606,28472,20,36786.0,public
Worcester Polytechnic Institute,1200,28,MA,42.26,-71.8,61,3.8,48,60,2.6,2.9,48628,4432,62,39995.0,private
Clemson University,1150,26,SC,34.68,-82.81,67,4,51,59,3.0,3.0,35654,18599,7,38923.0,public
University of Pittsburgh,1190,27,PA,40.43,-79.97,68,4,55,58,3.5,3.1,30642,19123,None,None,public
American University,1150,26,DC,38.89,-77.03,69,3.7,26,57,2.9,None,46615,7901,46,36076.0,private
Rutgers University--New Brunswick,1110,None,NJ,40.51,-74.45,69,None,57,57,3.0,3.1,30023,36168,13,40121.0,public
Stevens Institute of Technology,1260,29,NJ,40.74,-74.02,69,3.8,39,57,2.5,2.7,50554,3021,40,51810.0,private
Texas A&M University--College Station,1070,24,TX,30.6,-96.31,69,None,66,57,3.5,3.9,30208,50735,41,26376.0,public
University of Minnesota--Twin Cities,1180,26,MN,44.96,-93.26,69,None,44,57,3.8,3.6,26603,34871,23,28170.0,public
Virginia Tech,1100,None,VA,37.23,-80.42,69,3.9,71,57,3.2,3.9,29371,25791,None,None,public
Baylor University,1120,26,TX,31.56,-97.18,75,None,40,56,3.1,2.4,43790,14348,53,36761.0,private
Colorado School of Mines,1250,29,CO,39.73,-105.21,75,3.8,40,56,None,3.1,37436,4612,21,47042.0,public
University of Massachusetts--Amherst,1130,25,MA,42.37,-72.52,75,3.8,60,56,3.2,2.9,33662,23373,35,35445.0,public
Miami University--Oxford,1130,26,OH,39.5,-84.74,78,3.8,65,55,3.2,3.1,32768,16981,10,42507.0,public
Texas Christian University,1070,25,TX,32.75,-97.33,78,None,38,55,3.0,2.9,44760,8891,35,33953.0,private
University of Iowa,1020,23,IA,41.65,-91.53,78,3.6,84,55,3.5,2.9,28813,24476,34,32794.0,public
Clark University,1110,27,MA,42.26,-71.8,81,3.7,55,54,2.5,None,44400,2289,62,27702.0,private
Florida State University,1110,25,FL,30.45,-84.28,81,None,58,54,3.2,None,21673,32929,27,34036.0,public
Michigan State University,990,24,MI,42.73,-84.48,81,3.7,66,54,3.6,3.1,39405,39090,5,47279.0,public
North Carolina State University--Raleigh,1170,27,NC,35.82,-78.65,81,3.7,46,54,2.9,3.4,27406,23847,41,25623.0,public
University of California--Santa Cruz,1060,23,CA,36.98,-122.06,81,3.7,59,54,None,2.5,42042,16962,18,47616.0,public
University of Delaware,1090,23,DE,39.67,-75.75,81,3.7,65,54,3.0,3.0,32250,18374,None,None,public
Binghamton University--SUNY,1230,28,NY,42.1,-75.91,87,3.7,41,53,2.7,2.3,24403,13632,54,29356.0,public
University of Denver,1110,26,CO,39.76,-104.87,87,3.7,53,53,2.9,2.0,48669,5754,40,31393.0,private
University of Tulsa,1120,26,OK,36.12,-95.91,87,3.9,37,53,2.5,2.2,39502,3406,15,49957.0,private
Indiana University--Bloomington,1060,24,IN,39.16,-86.52,90,3.7,79,52,4.1,None,34845,39184,16,37563.0,public
Marquette University,1040,24,WI,43.06,-87.96,90,None,74,52,2.9,2.4,39900,8238,55,32894.0,private
University of Colorado--Boulder,1070,25,CO,40.02,-105.25,90,3.7,77,52,3.5,3.5,35079,27846,12,41125.0,public
University of San Diego,1100,26,CA,32.77,-117.18,90,3.9,51,52,2.8,3.5,47708,5711,48,36861.0,private
Drexel University,1080,25,PA,39.95,-75.16,94,3.7,75,51,2.8,3.0,52002,13251,54,42176.0,private
Saint Louis University,1120,24,MO,38.63,-90.24,94,3.9,65,51,2.9,2.2,42166,7454,51,28328.0,private
Yeshiva University,1090,23,NY,40.71,-73.99,94,3.5,51,51,2.3,None,42000,2714,46,34756.0,private
