displayName,sat,act,state,lat,lng,rank,hsGPA,acceptRate,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
Adelphi University,1010,22,NY,40.72,-73.64,151,3.6,70,40,2.1,None,37170,5205,None,None,private
Florida Institute of Technology,1060,24,FL,28.08,-80.6,151,3.6,61,40,None,2.1,41240,3629,None,None,private
Ohio University,990,21,OH,39.32,-82.09,151,3.5,75,40,2.7,2.3,21360,23788,None,None,public
Seattle Pacific University,990,21,WA,47.63,-122.37,151,3.5,87,40,2.1,2.9,40893,3095,None,None,private
University at Albany--SUNY,1010,22,NY,42.66,-73.79,151,3.2,54,40,2.8,None,24358,13139,None,None,public
Oklahoma State University,970,21,OK,36.13,-97.07,156,3.5,75,39,2.9,2.6,23776,21093,None,None,public
University of Massachusetts--Lowell,1070,24,MA,42.63,-71.32,156,3.6,60,39,2.4,2.3,31865,13639,None,None,public
University of Rhode Island,990,22,RI,41.47,-71.52,156,3.5,71,39,2.6,2.4,28874,14801,None,None,public
Biola University,950,21,CA,33.9,-118.01,159,3.5,65,38,None,None,38448,4091,None,None,private
Illinois State University,None,21,IL,40.51,-88.99,159,3.4,89,38,2.4,None,25168,18643,None,None,public
University of Alabama--Birmingham,965,21,AL,33.52,-86.79,159,3.7,89,38,2.8,2.2,23790,12369,None,None,public
University of Hawaii--Manoa,970,21,HI,21.3,-157.85,159,3.5,80,38,2.8,2.2,33764,13132,None,None,public
University of La Verne,930,20,CA,34.15,-117.76,159,3.5,48,38,None,None,41450,2809,None,None,private
University of Maryland--Baltimore County,1120,24,MD,39.3,-76.61,159,None,57,38,None,2.4,25654,11142,None,None,public
Immaculata University,860,18,PA,40.04,-75.52,165,3.3,82,37,None,None,27350,1555,None,None,private
Maryville University of St. Louis,900,22,MO,38.63,-90.24,165,3.6,93,37,None,None,28470,2967,None,None,private
Missouri University of Science & Technology,1186,25,MO,37.94,-91.76,165,3.6,79,37,2.1,2.9,27701,6909,None,None,public
St. John's University,970,22,NY,40.68,-73.78,165,3.5,63,37,2.5,None,40790,16440,None,None,private
University of California--Merced,860,18,CA,37.29,-120.48,165,3.5,74,37,None,2.1,41612,6815,None,None,public
University of Louisville,1000,22,KY,38.22,-85.74,165,3.5,73,37,2.8,2.3,26286,15827,None,None,public
Mississippi State University,990,21,MS,33.45,-88.79,171,3.4,71,36,2.6,2.4,22358,18090,None,None,public
Rowan University,990,None,NJ,39.7,-75.11,171,3.5,58,36,2.2,3.3,21378,14344,None,None,public
University of Central Florida,1080,24,FL,28.5,-81.37,171,3.9,50,36,2.7,2.6,22467,55776,None,None,public
University of Idaho,930,21,ID,46.72,-116.99,171,3.4,76,36,2.6,2.2,23812,9586,None,None,public
Virginia Commonwealth University,980,21,VA,37.55,-77.46,171,3.6,75,36,2.7,2.3,32942,24212,None,None,public
Kent State University,950,21,OH,41.14,-81.36,176,3.4,85,35,2.6,None,18376,23684,None,None,public
Robert Morris University,940,21,PA,40.51,-80.16,176,3.5,80,35,2.1,2.4,29420,4384,None,None,private
Texas Tech University,1020,22,TX,33.57,-101.87,176,3.5,63,35,2.8,2.6,23011,29963,None,None,public
Union University,1020,23,TN,35.63,-88.82,176,None,63,35,None,2.7,31580,2214,None,None,private
University of Hartford,920,20,CT,41.75,-72.74,176,None,72,35,2.4,2.8,38910,5150,None,None,private
Edgewood College,955,21,WI,43.07,-89.38,181,3.4,78,34,None,None,28500,1661,None,None,private
Lesley University,960,21,MA,42.37,-71.11,181,3.3,64,34,None,None,26550,1929,None,None,private
Lipscomb University,990,22,TN,36.17,-86.78,181,3.6,61,34,None,2.5,30932,2986,None,None,private
Suffolk University,910,20,MA,42.35,-71.06,181,3.2,84,34,2.2,2.0,37270,5290,None,None,private
University of Maine,950,21,ME,44.88,-68.68,181,3.2,90,34,2.4,2.2,30282,9323,None,None,public
University of Wyoming,960,21,WY,41.31,-105.58,181,3.5,95,34,2.5,2.2,16827,9788,None,None,public
Azusa Pacific University,930,21,CA,34.17,-117.87,187,3.7,84,33,None,None,36120,5770,None,None,private
Ball State University,990,20,IN,40.19,-85.39,187,3.5,62,33,2.6,None,25938,17011,None,None,public
Montclair State University,870,15,NJ,40.82,-74.21,187,3.2,66,33,2.2,None,20566,16810,None,None,public
Pace University,940,21,NY,40.71,-73.99,187,3.3,84,33,2.6,None,44036,8914,None,None,private
West Virginia University,930,21,WV,39.63,-79.94,187,3.5,76,33,2.6,2.4,23616,22350,None,None,public
Andrews University,930,21,MI,41.94,-86.34,192,3.5,40,32,None,None,28436,1688,None,None,private
Indiana University-Purdue University--Indianapolis,890,19,IN,39.77,-86.14,192,3.5,74,32,None,2.5,29806,21748,None,None,public
University of Houston,1040,23,TX,29.76,-95.38,192,None,59,32,2.9,2.6,27337,35871,None,None,public
University of New Mexico,950,19,NM,35.11,-106.62,192,3.4,47,32,2.7,2.6,22412,20215,None,None,public
University of North Dakota,960,21,ND,47.91,-97.07,192,3.4,84,32,2.4,None,21462,11255,None,None,public
Widener University,930,21,PA,39.84,-75.37,192,3.5,70,32,2.0,2.5,44166,3591,None,None,private
New Mexico State University,820,18,NM,32.33,-106.75,198,3.5,60,31,2.4,2.3,22701,12027,None,None,public
North Dakota State University,1000,21,ND,46.87,-96.81,198,3.4,93,31,2.2,2.0,20571,12010,None,None,public
Nova Southeastern University,1000,22,FL,26.14,-80.13,198,None,53,31,None,None,29940,4295,None,None,private
University of North Carolina--Charlotte,1030,22,NC,35.19,-80.83,198,3.9,62,31,2.8,2.6,20268,23404,None,None,public
Bowling Green State University,920,20,OH,41.37,-83.64,202,3.4,75,30,2.5,None,18593,14852,None,None,public
California State University--Fullerton,920,19,CA,33.87,-117.89,202,3.6,48,30,2.6,2.8,17460,34576,None,None,public
Dallas Baptist University,1030,19,TX,32.79,-96.76,202,3.7,43,30,None,None,27480,3223,None,None,private
University of Massachusetts--Boston,960,21,MA,42.35,-71.06,202,3.3,69,30,2.6,None,32985,12847,None,None,public
University of Nevada--Reno,970,21,NV,39.52,-119.81,202,3.6,83,30,2.3,2.2,21787,18191,None,None,public
Central Michigan University,890,20,MI,43.59,-84.77,207,3.4,72,29,2.3,2.6,23670,19923,None,None,public
East Carolina University,970,20,NC,35.59,-77.37,207,3.8,70,29,2.2,2.5,23420,22969,None,None,public
Florida A&M University,900,19,FL,30.45,-84.28,207,3.5,31,29,None,2.3,17725,7769,None,None,public
Montana State University,1010,21,MT,45.66,-111.06,207,3.4,83,29,2.3,2.2,23042,14400,None,None,public
University of Alaska--Fairbanks,950,19,AK,64.86,-147.82,207,3.3,73,29,2.2,2.1,23534,7239,None,None,public
University of Colorado--Denver,960,21,CO,39.76,-104.87,207,3.4,61,29,2.9,2.2,31209,14622,None,None,public
University of Massachusetts--Dartmouth,910,20,MA,41.64,-71,207,3.2,76,29,2.6,2.2,28285,6999,None,None,public
University of Montana,950,20,MT,46.86,-113.98,207,3.3,92,29,2.6,None,24943,10077,None,None,public
Western Michigan University,None,19,MI,42.27,-85.58,207,3.3,82,29,2.5,None,14699,18313,None,None,public
Florida International University,1030,23,FL,25.77,-80.2,216,3.9,49,28,2.6,2.1,18956,45813,None,None,public
Louisiana Tech University,980,21,LA,32.53,-92.63,216,3.7,63,28,2.3,2.2,18438,11281,None,None,public
South Dakota State University,890,20,SD,44.3,-96.78,216,3.4,91,28,None,None,11403,10959,None,None,public
Southern Illinois University--Carbondale,880,19,IL,37.72,-89.21,216,3.1,77,28,2.5,2.0,13936,12182,None,None,public
University of Alabama--Huntsville,1060,25,AL,34.7,-86.62,216,3.8,76,28,2.5,2.4,21480,6507,None,None,public
University of Missouri--Kansas City,980,21,MO,39.09,-94.58,216,3.4,62,28,2.6,None,25999,11708,None,None,public
Utah State University,980,20,UT,41.74,-111.8,216,3.5,90,28,2.5,2.4,20726,24838,None,None,public
Ashland University,950,20,OH,40.86,-82.31,223,3.4,72,27,None,None,20700,4536,None,None,private
Benedictine University,None,20,IL,41.79,-88.08,223,3.4,73,27,None,None,33900,3171,None,None,private
California State University--Fresno,800,16,CA,36.82,-119.76,223,3.5,54,27,2.3,2.7,17929,21528,None,None,public
Gardner-Webb University,870,18,NC,35.24,-81.66,223,3.7,52,27,None,None,30740,2362,None,None,private
Georgia State University,950,20,GA,33.75,-84.38,223,3.4,53,27,3.1,None,29432,25455,None,None,public
Shenandoah University,880,19,VA,39.17,-78.17,223,3.4,88,27,2.0,None,31920,2099,None,None,private
University of South Dakota,830,19,SD,42.78,-96.92,223,3,88,27,2.4,None,11688,7500,None,None,public
Wayne State University,983,20,MI,42.38,-83.1,223,3.4,68,27,2.4,2.2,28590,17280,None,None,public
