displayName,rank,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,,debt,salary,monthToPay,range
Biola University,159,38,None,None,38448,4091,None,None,private,35489,48700,34.97889117,90
Illinois State University,159,38,2.4,None,25168,18643,None,None,public,29228,49700,28.2282495,90
Mississippi State University,171,36,2.6,2.4,22358,18090,None,None,public,30721,50000,29.49216,90
Rowan University,171,36,2.2,3.3,21378,14344,None,None,public,31900,50100,30.56287425,90
Texas Tech University,176,35,2.8,2.6,23011,29963,None,None,public,30759,55700,26.50685817,90
University of Maine,181,34,2.4,2.2,30282,9323,None,None,public,34741,50800,32.82614173,90
University of Wyoming,181,34,2.5,2.2,16827,9788,None,None,public,22524,51700,20.91203095,90
Montclair State University,187,33,2.2,None,20566,16810,None,None,public,28070,49100,27.44114053,90
West Virginia University,187,33,2.6,2.4,23616,22350,None,None,public,29358,52900,26.63863894,90
University of Houston,192,32,2.9,2.6,27337,35871,None,None,public,23746,55000,20.72378182,90
California State University Fullerton,202,30,2.6,2.8,17460,34576,None,None,public,14965,49400,14.54089069,90
University of Nevada Reno,202,30,2.3,2.2,21787,18191,None,None,public,22650,51700,21.02901354,90
University of Alaska Fairbanks,207,29,2.2,2.1,23534,7239,None,None,public,22155,58500,18.17846154,90
University of Massachusetts Dartmouth,207,29,2.6,2.2,28285,6999,None,None,public,31992,52100,29.47439539,90
Western Michigan University,207,29,2.5,None,14699,18313,None,None,public,35602,49800,34.31518072,90
Florida International University,216,28,2.6,2.1,18956,45813,None,None,public,20022,48100,19.98037422,90
Louisiana Tech University,216,28,2.3,2.2,18438,11281,None,None,public,22262,52100,20.51009597,90
Utah State University,216,28,2.5,2.4,20726,24838,None,None,public,21328,50800,20.15244094,
California State University Fresno,223,27,2.3,2.7,17929,21528,None,None,public,18308,49800,17.64626506,
Georgia State University,223,27,3.1,None,29432,25455,None,None,public,30167,49400,29.31206478,
Florida Atlantic University,-1,None,2.4,None,21595,25402,None,None,public,22818,48300,22.67627329,
Lamar University,-1,None,2,None,22561,9326,None,None,public,35651,52500,32.5952,
Northern Illinois University,-1,None,2.6,2.7,23817,14079,None,None,public,34708,51400,32.41214008,
Prairie View A M University,-1,None,None,None,10059,7455,None,None,public,37209,57300,31.16984293,
San Francisco State University,-1,None,2.5,2.6,19134,25945,None,None,public,19347,55200,16.82347826,
Tennessee Technological University,-1,None,None,2.1,26190,9437,None,None,public,22018,52600,20.09247148,
Texas A M University Kingsville,-1,None,None,None,20912,6811,None,None,public,28347,52200,26.0662069,
Idaho State University,-2,None,2.4,2.1,21023,None,None,None,public,29340,50300,27.99840954,
