displayName,rank,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
Indiana State University,-1,None,2.4,None,19454,11202,None,None,public
Indiana University of Pennsylvania,-1,None,2.1,None,15882,10618,None,None,public
Jackson State University,-1,None,None,None,17614,7492,None,None,public
Kennesaw State University,-1,None,2.7,2.4,21158,32166,None,None,public
Lamar University,-1,None,2,None,22561,9326,None,None,public
Liberty University,-1,None,None,2.2,24304,47050,None,None,private
Lindenwood University,-1,None,None,None,16960,7549,None,None,private
Middle Tennessee State University,-1,None,2.2,None,27578,19693,None,None,public
Morgan State University,-1,None,2,None,17833,6362,None,None,public
National Louis University,-1,None,None,None,10380,None,None,None,private
North Carolina A&T State University,-1,None,None,2.2,19416,9668,None,None,public
Northern Arizona University,-1,None,2.5,2.8,24841,26506,None,None,public
Northern Illinois University,-1,None,2.6,2.7,23817,14079,None,None,public
Oakland University,-1,None,2,None,24735,16568,None,None,public
Old Dominion University,-1,None,2.5,2.2,28200,19793,None,None,public
Portland State University,-1,None,2.5,2.2,21180,21633,None,None,public
Prairie View A&M University,-1,None,None,None,10059,7455,None,None,public
Regent University,-1,None,None,None,17450,3806,None,None,private
Sam Houston State University,-1,None,2.1,None,22340,17902,None,None,public
San Francisco State University,-1,None,2.5,2.6,19134,25945,None,None,public
Spalding University,-1,None,None,None,24388,None,None,None,private
Tennessee State University,-1,None,2,None,20178,7007,None,None,public
Tennessee Technological University,-1,None,None,2.1,26190,9437,None,None,public
Texas A&M University--Commerce,-1,None,2.1,2.2,20884,7605,None,None,public
Texas A&M University--Corpus Christi,-1,None,2.2,2.5,26061,10212,None,None,public
Texas A&M University--Kingsville,-1,None,None,None,20912,6811,None,None,public
Texas Southern University,-1,None,2.1,None,21240,6562,None,None,public
Texas State University,-1,None,2.2,None,23071,34244,None,None,public
Texas Woman's University,-1,None,None,None,21816,10408,None,None,public
Trevecca Nazarene University,-1,None,None,None,25100,2092,None,None,private
Trinity International University,-1,None,None,None,30750,1076,None,None,private
University of Akron,-1,None,2.3,2.1,21863,17416,None,None,public
University of Arkansas--Little Rock,-1,None,2.5,2,19797,9374,None,None,public
University of Louisiana--Lafayette,-1,None,2.3,None,23074,15998,None,None,public
University of Louisiana--Monroe,-1,None,2,None,20381,7778,None,None,public
University of Maryland--Eastern Shore,-1,None,2,2.4,18048,3278,None,None,public
University of Memphis,-1,None,2.7,2.1,21413,17176,None,None,public
University of Missouri--St. Louis,-1,None,2.6,2.7,27327,13923,None,None,public
University of Nebraska--Omaha,-1,None,2.6,None,22035,12536,None,None,public
University of Nevada--Las Vegas,-1,None,2.5,2.2,21498,24714,None,None,public
University of New Orleans,-1,None,2.4,None,13530,6442,None,None,public
University of North Carolina--Greensboro,-1,None,2.6,None,22410,16281,None,None,public
University of Northern Colorado,-1,None,2.3,None,20474,9503,None,None,public
University of North Texas,-1,None,2.4,None,23716,31209,None,None,public
University of South Alabama,-1,None,2.1,2.6,19586,11761,None,None,public
University of Southern Mississippi,-1,None,2.2,None,9854,11779,None,None,public
University of Texas--Arlington,-1,None,2.7,2.4,25152,32775,None,None,public
University of Texas--El Paso,-1,None,2.3,2.1,21396,20521,None,None,public
University of Texas--Rio Grande Valley,-1,None,None,2.1,17230,24433,None,None,public
University of Texas--San Antonio,-1,None,2.4,2.1,23379,24724,None,None,public
University of the Cumberlands,-1,None,None,None,23000,3082,None,None,private
University of Toledo,-1,None,2.3,2.1,18578,16247,None,None,public
University of West Florida,-1,None,None,2.1,18628,10082,None,None,public
University of West Georgia,-1,None,2,None,20406,11155,None,None,public
University of Wisconsin--Milwaukee,-1,None,2.8,2.4,19851,21375,None,None,public
Valdosta State University,-1,None,2.1,None,17196,8780,None,None,public
Wichita State University,-1,None,2.3,2.2,17270,11823,None,None,public
Wright State University,-1,None,2.3,2.2,17350,12504,None,None,public
Alliant International University,-2,None,None,None,17510,1264,None,None,private
Argosy University,-2,None,None,None,13152,None,None,None,proprietary
California Institute of Integral Studies,-2,None,None,None,28467,None,None,None,private
Capella University,-2,None,None,None,13998,None,None,None,proprietary
Idaho State University,-2,None,2.4,2.1,21023,None,None,None,public
Northcentral University,-2,None,None,None,10368,133,None,None,proprietary
Trident University International,-2,None,None,None,9000,None,None,None,proprietary
Union Institute and University,-2,None,None,None,12416,None,None,None,private
University of Phoenix,-2,None,None,None,9690,None,None,None,proprietary
Walden University,-2,None,None,None,12075,None,None,None,proprietary
Wilmington University,-2,None,None,None,10940,8873,None,None,private
